Sr. No.,Lease Name,Area,Document Name,condition_type,shortened_condition_text,condition_text,Evidence,clause_number,Priority,AI Validated,Location,Type,Assigned by,Assigned to,Progress Status,create date,deadline date,completion date,approved date,validation date,closure date
257,Topailore,14.15,CTO,Specific,Maintain good housekeeping by regular cleaning and wetting of haul roads and premises,"That, the proponent shall maintain all internal roads pucca and shall maintain a good housekeeping by regular cleaning and wetting of the haul roads and the premises.",image,15,1,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
258,Topailore,14.15,CTO,Specific,Take measures for control of noise levels below 85 dBA,"That, Measures should be taken for control of noise levels below 85 dBA in the work environment Workers engaged in operations of HEMM, etc. should be provided with ear plugs / muffs.",pdf,16,2,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
259,Topailore,14.15,CTO,Specific,Provide ear plugs/muffs to workers in HEMM operations,"That, Measures should be taken for control of noise levels below 85 dBA in the work environment Workers engaged in operations of HEMM, etc. should be provided with ear plugs / muffs.",image,16,2,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
260,Topailore,14.15,CTO,Specific,Submit applications for renewal of consent 120 days prior to expiry,"That, the occupier shall submit applications for renewal of consent under section 25 / 26 of the Water(Prevention & Control of Pollution) Act, 1974 and under section 21 of the Air (Prevention & Control of Pollution) Act, 1981 again 120 days prior to the date of expiry of this consent i.e.31.12.2025 with documents showing compliance of all of the above condition.",pdf,17,3,0,Gua,Iron Ore Mine,Vinay,Anshul,Evidence Pending,8/4/2025,8/4/2025,9/9/2025,,12/31/2027,12/31/2027
261,Topailore,14.15,CTO,Specific,Submit documents showing compliance with renewal applications,"That, the occupier shall submit applications for renewal of consent under section 25 / 26 of the Water(Prevention & Control of Pollution) Act, 1974 and under section 21 of the Air (Prevention & Control of Pollution) Act, 1981 again 120 days prior to the date of expiry of this consent i.e.31.12.2025 with documents showing compliance of all of the above condition.",pdf,17,3,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
262,Topailore,14.15,CTO,General,Maintain National Ambient Air Quality Standard,"That, the occupier shall maintain the National Ambient Air Quality Standard given below:",pdf,1,3,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,7/4/2024,7/4/2024,7/19/2024,7/21/2024,7/21/2024,7/21/2024
263,Topailore,14.15,CTO,General,Maintain emission quality within standard and quantity,"That, the occupier shall maintain the emission quality within the standard and the quantity, as follows:",pdf,2,3,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
264,Topailore,14.15,CTO,General,Keep process effluent in close-circuit and maintain quality,"That, the occupier shall keep process effluent in close-circuit and the quality of effluent from other sources in conformity with the standard(s) and the discharge quantity as below:",pdf,3,3,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
265,Topailore,14.15,CTO,General,Dispose of solid wastes as specified,"That, the occupier shall dispose of solid wastes as follows:",pdf,4,3,0,Gua,Iron Ore Mine,Naveen,Ankit,Evidence Pending,4/16/2025,4/16/2025,5/21/2025,,12/31/2027,12/31/2027
266,Topailore,14.15,CTO,General,Keep DG Set(s) within acoustic enclosure,"That, the occupier shall keep D G Set(s) within acoustic enclosure and shall keep the height(s) of exhaust pipe(s) as per Central Pollution Control Board norm.",image,5,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,2/14/2025,2/14/2025,2/27/2025,3/2/2025,3/2/2025,3/2/2025
267,Topailore,14.15,CTO,General,Keep DG Set exhaust pipe height as per CPCB norm,"That, the occupier shall keep D G Set(s) within acoustic enclosure and shall keep the height(s) of exhaust pipe(s) as per Central Pollution Control Board norm.",pdf,5,2,0,Gua,Iron Ore Mine,Ankit,Vinay,Approval Pending,5/11/2025,5/11/2025,5/23/2025,,12/31/2027,12/31/2027
268,Topailore,14.15,CTO,General,Install and maintain approved rain water harvesting system,"That, the occupier shall install and maintain Central Ground Water Board/ State Ground Water Directorate approved system of rain water harvesting-cum-ground water recharge and submit the photographic view of the structures within a month.","image,pdf",6,2,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
269,Topailore,14.15,CTO,General,Submit photographic view of rain water harvesting structures within a month,"That, the occupier shall install and maintain Central Ground Water Board/ State Ground Water Directorate approved system of rain water harvesting-cum-ground water recharge and submit the photographic view of the structures within a month.","image,pdf",6,2,0,Gua,Iron Ore Mine,Naveen,Ankit,Evidence Pending,4/20/2025,4/20/2025,5/27/2025,,12/31/2027,12/31/2027
270,Topailore,14.15,CTO,General,Grow and maintain greenery in the project periphery,"That, the occupier shall grow and maintain greenery of the project in the periphery and other available spaces and shall continue enhancing its plant density and biodiversity.","image,pdf",7,2,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
271,Topailore,14.15,CTO,General,Continue enhancing plant density and biodiversity,"That, the occupier shall grow and maintain greenery of the project in the periphery and other available spaces and shall continue enhancing its plant density and biodiversity.",pdf,7,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,3/1/2025,3/1/2025,3/17/2025,3/19/2025,3/19/2025,3/19/2025
272,Topailore,14.15,CTO,General,Submit annual environmental statement with reports by Sept 30th,"That, the occupier shall submit environmental statement with supporting stoichiometric calculations analyses reports, every year latest by 30th September of the next financial year.",pdf,8,2,0,Gua,Iron Ore Mine,Shreyas,test_user,Evidence Pending,4/29/2025,4/29/2025,6/11/2025,,12/31/2027,12/31/2027
273,Topailore,14.15,CTO,General,Submit reports from NABL accredited lab yearly,"That, the occupier shall submit report(s) duly monitored and issued by an NABL accredited / ISO 9001:2008 and OHSAS 18001:2007 certified laboratory in compliance sub-para (2), (3), (4) and (5) of paragraph 3 of this CTO yearly at required periodicity.",pdf,9,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,4/14/2024,4/14/2024,5/3/2024,5/5/2024,5/5/2024,5/5/2024
274,Topailore,14.15,CTO,General,CTO validity is subject to validity of Mining Lease/Plan/EC,"That, this CTO is valid subjected to the validity of mining Lease/Mining Plan/Ecofriendly/Environmental Clearance, if applicable. In case of no renewal of Mining Lease/Mining Plan, this consent shall be treated as revoked automatically.",pdf,10,4,0,Gua,Iron Ore Mine,Naveen,test_user_SUPER,Approval Pending,11/11/2024,11/11/2024,12/1/2024,,12/31/2027,12/31/2027
275,Topailore,14.15,CTO,General,Consent is revoked if Mining Lease/Plan is not renewed,"That, this CTO is valid subjected to the validity of mining Lease/Mining Plan/Ecofriendly/Environmental Clearance, if applicable. In case of no renewal of Mining Lease/Mining Plan, this consent shall be treated as revoked automatically.",pdf,10,4,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,4/14/2025,4/14/2025,4/22/2025,4/24/2025,4/24/2025,4/24/2025
276,Topailore,14.15,CTO,General,CTO does not absolve occupier from other statutory obligations,"That, this CTO is issued from the environmental angle only and does not absolve the occupier from other statutory obligations prescribed under any other law or any other instrument in force. The sole and complete responsibility to comply with these conditions laid down in all other laws for the time-being in force, rests with the industry/unit/ occupier.",pdf,11,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,5/5/2024,5/5/2024,5/17/2024,5/19/2024,5/19/2024,5/19/2024
277,Topailore,14.15,CTO,General,Sole responsibility to comply with all other laws rests with the occupier,"That, this CTO is issued from the environmental angle only and does not absolve the occupier from other statutory obligations prescribed under any other law or any other instrument in force. The sole and complete responsibility to comply with these conditions laid down in all other laws for the time-being in force, rests with the industry/unit/ occupier.",pdf,11,3,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,7/15/2024,7/15/2024,8/7/2024,8/9/2024,8/9/2024,8/9/2024
278,Topailore,14.15,CTO,General,CTO shall not affect or jeopardize any legal proceeding,"That, this CTO shall not in any way, adversely affect or jeopardize the legal proceeding, if any, instituted in the past or that could be, instituted against you by the State Board for violation of the provisions of the Act or the Rules made there under.",pdf,12,3,0,Gua,Iron Ore Mine,Naveen,Ankit,Approval Pending,2/26/2025,2/26/2025,3/25/2025,,12/31/2027,12/31/2027
279,Topailore,14.15,CTO,General,"Comply with Water Act, Cess Act, Air Act, and Environment Act","That, the occupier shall comply with all applicable provisions of the Water (Prevention & Control of Pollution) Act, 1974; the Water (Prevention & Control of Pollution) Cess Act, 1977; the Air (Prevention & Control of Pollution) Act, 1981; and the Environment (Protection) Act, 1986 and Rules made there under.",pdf,13,4,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,12/27/2024,12/27/2024,1/24/2025,1/26/2025,1/26/2025,1/26/2025
280,Topailore,14.15,FC Stage II,Specific,Legal status of forest land proposed for diversion remain unchanged,Legal status of forest land proposed for diversion shall remain unchanged.,pdf,1,4,0,Gua,Iron Ore Mine,Ankit,Vinay,Evidence Pending,8/25/2025,8/25/2025,10/2/2025,,12/31/2027,12/31/2027
281,Topailore,14.15,FC Stage II,Specific,Ground demarcation of Diverted Forest Land,"The boundary of the diverted forest land, mining lease area and safety zone shall be suitably demarcated on ground at the project cost as per the directions of concerned Divisional Forest Officer.","image,kml",2,3,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,6/23/2024,6/23/2024,7/16/2024,7/17/2024,7/17/2024,7/17/2024
282,Topailore,14.15,FC Stage II,Specific,Ground demarcation of Mining Lease Area,"The boundary of the diverted forest land, mining lease area and safety zone shall be suitably demarcated on ground at the project cost as per the directions of concerned Divisional Forest Officer.","image,kml",2,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,9/18/2024,9/18/2024,10/3/2024,10/4/2024,10/4/2024,10/4/2024
283,Topailore,14.15,FC Stage II,Specific,Ground demarcation of Safety Zone (7.5 mtr offset inside the Mining Lease Boundary),"The boundary of the diverted forest land, mining lease area and safety zone shall be suitably demarcated on ground at the project cost as per the directions of concerned Divisional Forest Officer.","image,kml",2,3,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,12/14/2024,12/14/2024,1/10/2025,1/13/2025,1/13/2025,1/13/2025
284,Topailore,14.15,FC Stage II,Specific,Least possible deforestation of Diverted Forest Land,User Agency shall restrict the felling of trees to minimum numbers in the diverted forest land and trees shall be felled under strict supervision of the State Forest Department.,image,3,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,8/25/2024,8/25/2024,9/8/2024,9/9/2024,9/9/2024,9/9/2024
285,Topailore,14.15,FC Stage II,Specific,7.5 mtr offset inside the Mining Lease Boundary as Safety Zone,"The user Agency either itself or through the State Forest Department shall undertake fencing, protection and afforestation with native species of the safety zone area (7.5 meter strip shall be kept within the mining lease or mining cluster, as applicable and such other areas as specified in the approved mining plan) at the project cost.",kml,4,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,6/3/2024,6/3/2024,6/11/2024,6/13/2024,6/13/2024,6/13/2024
286,Topailore,14.15,FC Stage II,Specific,Fencing of safety zone,"The user Agency either itself or through the State Forest Department shall undertake fencing, protection and afforestation with native species of the safety zone area (7.5 meter strip shall be kept within the mining lease or mining cluster, as applicable and such other areas as specified in the approved mining plan) at the project cost.",image,4,2,0,Gua,Iron Ore Mine,,,Allocation Pending,,,,,12/31/2027,12/31/2027
287,Topailore,14.15,FC Stage II,Specific,Native species Afforestation in Safety Zone,"The user Agency either itself or through the State Forest Department shall undertake fencing, protection and afforestation with native species of the safety zone area (7.5 meter strip shall be kept within the mining lease or mining cluster, as applicable and such other areas as specified in the approved mining plan) at the project cost.",image,4,3,0,Gua,Iron Ore Mine,Shreyas,test_user,Evidence Pending,6/17/2025,6/17/2025,7/29/2025,,12/31/2027,12/31/2027
288,Topailore,14.15,FC Stage II,Specific,The period of diversion of the said forest land be co terminus with the period of the mining lease granted,"The period of diversion of the said forest land shall be co-terminus with the period of the mining lease granted under the Mines and Minerals (Development & Regulating) Act, 1957 or Rules framed there under.",pdf,5,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,3/15/2025,3/15/2025,4/1/2025,4/4/2025,4/4/2025,4/4/2025
